event_id,timestamp,type,container_id,size,weight_class,vessel_id,port_of_discharge,departure_time
1,2025-01-01 06:17:44,TRUCK_DLVR,CONT0004506,20,MEDIUM,VSL018,PORT_07,2025-01-08 10:16:04
2,2025-01-01 06:24:04,TRUCK_RECV,TRK0001295,20,HEAVY,VSL001,PORT_03,2025-01-05 16:25:49
3,2025-01-01 06:24:31,TRUCK_RECV,TRK0001711,20,MEDIUM,VSL006,PORT_04,2025-01-06 15:34:45
4,2025-01-01 06:29:17,TRUCK_RECV,TRK0001850,20,MEDIUM,VSL001,PORT_03,2025-01-05 16:25:49
5,2025-01-01 06:38:34,TRUCK_RECV,TRK0002014,20,HEAVY,VSL002,PORT_13,2025-01-05 15:50:02
6,2025-01-01 07:10:58,TRUCK_RECV,TRK0000551,20,LIGHT,VSL003,PORT_09,2025-01-02 20:27:12
7,2025-01-01 07:10:59,TRUCK_RECV,TRK0001293,20,HEAVY,VSL003,PORT_09,2025-01-02 20:27:12
8,2025-01-01 07:14:05,TRUCK_RECV,TRK0002031,20,LIGHT,VSL004,PORT_02,2025-01-06 00:20:47
9,2025-01-01 07:14:52,TRUCK_RECV,TRK0000168,20,LIGHT,VSL007,PORT_01,2025-01-06 23:03:27
10,2025-01-01 07:19:03,TRUCK_RECV,TRK0001101,20,HEAVY,VSL004,PORT_01,2025-01-06 00:20:47
11,2025-01-01 07:22:10,TRUCK_RECV,TRK0000972,20,LIGHT,VSL005,PORT_03,2025-01-03 10:54:26
12,2025-01-01 07:22:32,TRUCK_DLVR,CONT0003292,20,MEDIUM,VSL020,PORT_07,2025-01-11 21:02:10
13,2025-01-01 07:23:39,TRUCK_RECV,TRK0000270,20,HEAVY,VSL005,PORT_06,2025-01-03 10:54:26
14,2025-01-01 07:26:06,TRUCK_RECV,TRK0001456,20,MEDIUM,VSL007,PORT_02,2025-01-06 23:03:27
15,2025-01-01 07:48:02,TRUCK_RECV,TRK0000992,20,LIGHT,VSL004,PORT_07,2025-01-06 00:20:47
16,2025-01-01 07:48:48,TRUCK_DLVR,CONT0004348,20,HEAVY,VSL001,PORT_01,2025-01-16 13:20:20
17,2025-01-01 07:50:18,TRUCK_DLVR,CONT0003432,20,MEDIUM,VSL005,PORT_01,2025-01-03 10:54:26
